"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Austria (AT)","20.11.2021 00:00 - 20.11.2021 00:15 (CET)","156","n/e","n/e","2040","0","0","n/e","n/e","0","0","1436","1571","24","n/e","n/e","22","0","0","100","n/e","1844"
"Austria (AT)","20.11.2021 00:15 - 20.11.2021 00:30 (CET)","156","n/e","n/e","1981","0","0","n/e","n/e","0","0","1378","1549","33","n/e","n/e","22","0","0","100","n/e","1904"
"Austria (AT)","20.11.2021 00:30 - 20.11.2021 00:45 (CET)","156","n/e","n/e","1903","0","0","n/e","n/e","0","0","1426","1523","22","n/e","n/e","22","0","0","100","n/e","1996"
"Austria (AT)","20.11.2021 00:45 - 20.11.2021 01:00 (CET)","156","n/e","n/e","1830","0","0","n/e","n/e","0","0","1416","1481","21","n/e","n/e","22","0","0","100","n/e","2064"
"Austria (AT)","20.11.2021 01:00 - 20.11.2021 01:15 (CET)","156","n/e","n/e","1725","0","0","n/e","n/e","0","0","1536","1449","28","n/e","n/e","22","0","0","100","n/e","2152"
"Austria (AT)","20.11.2021 01:15 - 20.11.2021 01:30 (CET)","156","n/e","n/e","1689","0","0","n/e","n/e","0","0","1602","1419","21","n/e","n/e","22","0","0","100","n/e","2164"
"Austria (AT)","20.11.2021 01:30 - 20.11.2021 01:45 (CET)","156","n/e","n/e","1660","0","0","n/e","n/e","0","0","1601","1415","21","n/e","n/e","22","0","0","100","n/e","2204"
"Austria (AT)","20.11.2021 01:45 - 20.11.2021 02:00 (CET)","156","n/e","n/e","1545","0","0","n/e","n/e","0","0","1615","1368","20","n/e","n/e","22","0","0","100","n/e","2236"
"Austria (AT)","20.11.2021 02:00 - 20.11.2021 02:15 (CET)","156","n/e","n/e","1476","0","0","n/e","n/e","0","0","1603","1404","23","n/e","n/e","22","0","0","100","n/e","2300"
"Austria (AT)","20.11.2021 02:15 - 20.11.2021 02:30 (CET)","156","n/e","n/e","1444","0","0","n/e","n/e","0","0","1580","1380","20","n/e","n/e","22","0","0","100","n/e","2356"
"Austria (AT)","20.11.2021 02:30 - 20.11.2021 02:45 (CET)","152","n/e","n/e","1454","0","0","n/e","n/e","0","0","1562","1391","20","n/e","n/e","22","0","0","100","n/e","2324"
"Austria (AT)","20.11.2021 02:45 - 20.11.2021 03:00 (CET)","152","n/e","n/e","1448","0","0","n/e","n/e","0","0","1580","1384","21","n/e","n/e","22","0","0","100","n/e","2324"
"Austria (AT)","20.11.2021 03:00 - 20.11.2021 03:15 (CET)","152","n/e","n/e","1475","0","0","n/e","n/e","0","0","1528","1412","20","n/e","n/e","22","0","0","100","n/e","2372"
"Austria (AT)","20.11.2021 03:15 - 20.11.2021 03:30 (CET)","152","n/e","n/e","1453","0","0","n/e","n/e","0","0","1512","1374","20","n/e","n/e","22","0","0","100","n/e","2448"
"Austria (AT)","20.11.2021 03:30 - 20.11.2021 03:45 (CET)","152","n/e","n/e","1444","0","0","n/e","n/e","0","0","1545","1385","20","n/e","n/e","22","0","0","100","n/e","2484"
"Austria (AT)","20.11.2021 03:45 - 20.11.2021 04:00 (CET)","152","n/e","n/e","1447","0","0","n/e","n/e","0","0","1564","1390","20","n/e","n/e","22","0","0","100","n/e","2380"
"Austria (AT)","20.11.2021 04:00 - 20.11.2021 04:15 (CET)","156","n/e","n/e","1491","0","0","n/e","n/e","0","0","1507","1438","53","n/e","n/e","22","0","0","100","n/e","2228"
"Austria (AT)","20.11.2021 04:15 - 20.11.2021 04:30 (CET)","156","n/e","n/e","1530","0","0","n/e","n/e","0","0","1483","1464","56","n/e","n/e","22","0","0","100","n/e","2160"
"Austria (AT)","20.11.2021 04:30 - 20.11.2021 04:45 (CET)","156","n/e","n/e","1498","0","0","n/e","n/e","0","0","1496","1432","28","n/e","n/e","22","0","0","100","n/e","2176"
"Austria (AT)","20.11.2021 04:45 - 20.11.2021 05:00 (CET)","156","n/e","n/e","1551","0","0","n/e","n/e","0","0","1520","1479","24","n/e","n/e","22","0","0","100","n/e","2180"
"Austria (AT)","20.11.2021 05:00 - 20.11.2021 05:15 (CET)","156","n/e","n/e","1554","0","0","n/e","n/e","0","0","1554","1494","25","n/e","n/e","22","0","0","100","n/e","2272"
"Austria (AT)","20.11.2021 05:15 - 20.11.2021 05:30 (CET)","156","n/e","n/e","1558","0","0","n/e","n/e","0","0","1551","1499","23","n/e","n/e","22","0","0","100","n/e","2428"
"Austria (AT)","20.11.2021 05:30 - 20.11.2021 05:45 (CET)","156","n/e","n/e","1568","0","0","n/e","n/e","0","0","1524","1511","28","n/e","n/e","22","0","0","100","n/e","2524"
"Austria (AT)","20.11.2021 05:45 - 20.11.2021 06:00 (CET)","156","n/e","n/e","1657","0","0","n/e","n/e","0","0","1566","1572","42","n/e","n/e","22","0","0","100","n/e","2580"
"Austria (AT)","20.11.2021 06:00 - 20.11.2021 06:15 (CET)","156","n/e","n/e","1654","0","0","n/e","n/e","0","0","1628","1526","23","n/e","n/e","22","0","0","100","n/e","2588"
"Austria (AT)","20.11.2021 06:15 - 20.11.2021 06:30 (CET)","156","n/e","n/e","1711","0","0","n/e","n/e","0","0","1584","1572","23","n/e","n/e","22","0","0","100","n/e","2400"
"Austria (AT)","20.11.2021 06:30 - 20.11.2021 06:45 (CET)","156","n/e","n/e","1786","0","0","n/e","n/e","0","0","1588","1585","24","n/e","n/e","22","0","0","100","n/e","2376"
"Austria (AT)","20.11.2021 06:45 - 20.11.2021 07:00 (CET)","156","n/e","n/e","2120","0","0","n/e","n/e","0","0","1680","1616","25","n/e","n/e","22","0","0","100","n/e","2332"
"Austria (AT)","20.11.2021 07:00 - 20.11.2021 07:15 (CET)","156","n/e","n/e","2485","0","0","n/e","n/e","0","0","1531","1614","23","n/e","n/e","22","0","0","100","n/e","2376"
"Austria (AT)","20.11.2021 07:15 - 20.11.2021 07:30 (CET)","156","n/e","n/e","2787","0","0","n/e","n/e","0","0","1565","1573","26","n/e","n/e","22","0","16","100","n/e","2444"
"Austria (AT)","20.11.2021 07:30 - 20.11.2021 07:45 (CET)","156","n/e","n/e","2862","0","0","n/e","n/e","0","0","1554","1616","27","n/e","n/e","22","0","20","100","n/e","2500"
"Austria (AT)","20.11.2021 07:45 - 20.11.2021 08:00 (CET)","156","n/e","n/e","2883","0","0","n/e","n/e","0","0","1549","1627","28","n/e","n/e","22","0","24","100","n/e","2456"
