Area,MTU,Biomass  - Actual Aggregated [MW],Fossil Brown coal/Lignite  - Actual Aggregated [MW],Fossil Coal-derived gas  - Actual Aggregated [MW],Fossil Gas  - Actual Aggregated [MW],Fossil Hard coal  - Actual Aggregated [MW],Fossil Oil  - Actual Aggregated [MW],Fossil Oil shale  - Actual Aggregated [MW],Fossil Peat  - Actual Aggregated [MW],Geothermal  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Consumption [MW],Hydro Run-of-river and poundage  - Actual Aggregated [MW],Hydro Water Reservoir  - Actual Aggregated [MW],Marine  - Actual Aggregated [MW],Nuclear  - Actual Aggregated [MW],Other  - Actual Aggregated [MW],Other renewable  - Actual Aggregated [MW],Solar  - Actual Aggregated [MW],Waste  - Actual Aggregated [MW],Wind Offshore  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW]
Austria (AT),19.11.2021 00:00 - 19.11.2021 00:15 (CET),156,n/e,n/e,2616,0,0,n/e,n/e,0,0,1046,1554,49,n/e,n/e,22,0,0,100,n/e,624
Austria (AT),19.11.2021 00:15 - 19.11.2021 00:30 (CET),156,n/e,n/e,2306,0,0,n/e,n/e,0,0,999,1482,96,n/e,n/e,22,0,0,100,n/e,648
Austria (AT),19.11.2021 00:30 - 19.11.2021 00:45 (CET),156,n/e,n/e,2264,0,0,n/e,n/e,0,0,1024,1466,72,n/e,n/e,22,0,0,100,n/e,588
Austria (AT),19.11.2021 00:45 - 19.11.2021 01:00 (CET),156,n/e,n/e,2238,0,0,n/e,n/e,0,0,1055,1503,32,n/e,n/e,22,0,0,100,n/e,568
Austria (AT),19.11.2021 01:00 - 19.11.2021 01:15 (CET),156,n/e,n/e,2062,0,0,n/e,n/e,0,0,1189,1520,29,n/e,n/e,22,0,0,100,n/e,612
Austria (AT),19.11.2021 01:15 - 19.11.2021 01:30 (CET),156,n/e,n/e,1889,0,0,n/e,n/e,0,0,1192,1489,27,n/e,n/e,22,0,0,100,n/e,684
Austria (AT),19.11.2021 01:30 - 19.11.2021 01:45 (CET),156,n/e,n/e,1770,0,0,n/e,n/e,0,0,1237,1457,24,n/e,n/e,22,0,0,100,n/e,740
Austria (AT),19.11.2021 01:45 - 19.11.2021 02:00 (CET),156,n/e,n/e,1697,0,0,n/e,n/e,0,0,1291,1422,22,n/e,n/e,22,0,0,100,n/e,824
Austria (AT),19.11.2021 02:00 - 19.11.2021 02:15 (CET),152,n/e,n/e,1646,0,0,n/e,n/e,0,0,1404,1432,25,n/e,n/e,22,0,0,100,n/e,904
Austria (AT),19.11.2021 02:15 - 19.11.2021 02:30 (CET),156,n/e,n/e,1586,0,0,n/e,n/e,0,0,1445,1401,22,n/e,n/e,22,0,0,100,n/e,980
Austria (AT),19.11.2021 02:30 - 19.11.2021 02:45 (CET),156,n/e,n/e,1581,0,0,n/e,n/e,0,0,1453,1409,23,n/e,n/e,22,0,0,100,n/e,1060
Austria (AT),19.11.2021 02:45 - 19.11.2021 03:00 (CET),156,n/e,n/e,1558,0,0,n/e,n/e,0,0,1447,1394,22,n/e,n/e,22,0,0,100,n/e,1124
Austria (AT),19.11.2021 03:00 - 19.11.2021 03:15 (CET),156,n/e,n/e,1717,0,0,n/e,n/e,0,0,1343,1419,23,n/e,n/e,22,0,0,100,n/e,1136
Austria (AT),19.11.2021 03:15 - 19.11.2021 03:30 (CET),156,n/e,n/e,1762,0,0,n/e,n/e,0,0,1308,1399,22,n/e,n/e,22,0,0,100,n/e,1148
Austria (AT),19.11.2021 03:30 - 19.11.2021 03:45 (CET),156,n/e,n/e,1786,0,0,n/e,n/e,0,0,1294,1389,24,n/e,n/e,22,0,0,100,n/e,1176
Austria (AT),19.11.2021 03:45 - 19.11.2021 04:00 (CET),156,n/e,n/e,1818,0,0,n/e,n/e,0,0,1352,1390,22,n/e,n/e,22,0,0,100,n/e,1224
