Area,MTU,Biomass  - Actual Aggregated [MW],Fossil Brown coal/Lignite  - Actual Aggregated [MW],Fossil Coal-derived gas  - Actual Aggregated [MW],Fossil Gas  - Actual Aggregated [MW],Fossil Hard coal  - Actual Aggregated [MW],Fossil Oil  - Actual Aggregated [MW],Fossil Oil shale  - Actual Aggregated [MW],Fossil Peat  - Actual Aggregated [MW],Geothermal  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Consumption [MW],Hydro Run-of-river and poundage  - Actual Aggregated [MW],Hydro Water Reservoir  - Actual Aggregated [MW],Marine  - Actual Aggregated [MW],Nuclear  - Actual Aggregated [MW],Other  - Actual Aggregated [MW],Other renewable  - Actual Aggregated [MW],Solar  - Actual Aggregated [MW],Waste  - Actual Aggregated [MW],Wind Offshore  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW]
Belgium (BE),19.11.2021 00:00 - 19.11.2021 01:00 (CET),267,n/e,n/e,1493,n/e,0,n/e,n/e,n/e,,486,0,n/e,n/e,4910,N/A,n/e,0,119,821,334
Belgium (BE),19.11.2021 01:00 - 19.11.2021 02:00 (CET),268,n/e,n/e,1200,n/e,0,n/e,n/e,n/e,,953,0,n/e,n/e,4908,N/A,n/e,0,121,902,377
Belgium (BE),19.11.2021 02:00 - 19.11.2021 03:00 (CET),267,n/e,n/e,1091,n/e,0,n/e,n/e,n/e,,1128,0,n/e,n/e,4909,N/A,n/e,0,131,1006,337
Belgium (BE),19.11.2021 03:00 - 19.11.2021 04:00 (CET),267,n/e,n/e,1248,n/e,0,n/e,n/e,n/e,,1119,0,n/e,n/e,4909,N/A,n/e,0,129,925,301
Belgium (BE),19.11.2021 04:00 - 19.11.2021 05:00 (CET),267,n/e,n/e,1218,n/e,0,n/e,n/e,n/e,,964,0,n/e,n/e,4911,N/A,n/e,0,130,767,289
Belgium (BE),19.11.2021 05:00 - 19.11.2021 06:00 (CET),267,n/e,n/e,1311,n/e,0,n/e,n/e,n/e,,529,0,n/e,n/e,4912,N/A,n/e,0,131,726,311
Belgium (BE),19.11.2021 06:00 - 19.11.2021 07:00 (CET),267,n/e,n/e,1655,n/e,0,n/e,n/e,n/e,,149,0,n/e,n/e,4911,N/A,n/e,0,130,655,289
Belgium (BE),19.11.2021 07:00 - 19.11.2021 08:00 (CET),270,n/e,n/e,2158,n/e,0,n/e,n/e,n/e,42,1,0,n/e,n/e,4912,N/A,n/e,0,127,511,238
Belgium (BE),19.11.2021 08:00 - 19.11.2021 09:00 (CET),270,n/e,n/e,2420,n/e,0,n/e,n/e,n/e,569,,3,n/e,n/e,4912,N/A,n/e,13,125,446,221
Belgium (BE),19.11.2021 09:00 - 19.11.2021 10:00 (CET),271,n/e,n/e,2439,n/e,0,n/e,n/e,n/e,244,,3,n/e,n/e,4911,N/A,n/e,114,128,328,259
Belgium (BE),19.11.2021 10:00 - 19.11.2021 11:00 (CET),272,n/e,n/e,2385,n/e,0,n/e,n/e,n/e,58,0,3,n/e,n/e,4910,N/A,n/e,239,128,492,332
