"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Switzerland (CH)","20.11.2021 00:00 - 20.11.2021 01:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","44","","148","782","n/e","1736","n/e","n/e","N/A","n/e","n/e","N/A"
"Switzerland (CH)","20.11.2021 01:00 - 20.11.2021 02:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","30","","146","642","n/e","1736","n/e","n/e","N/A","n/e","n/e","N/A"
"Switzerland (CH)","20.11.2021 02:00 - 20.11.2021 03:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","30","","138","573","n/e","1735","n/e","n/e","N/A","n/e","n/e","N/A"
"Switzerland (CH)","20.11.2021 03:00 - 20.11.2021 04:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","18","","140","593","n/e","1735","n/e","n/e","N/A","n/e","n/e","N/A"
"Switzerland (CH)","20.11.2021 04:00 - 20.11.2021 05:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","13","","140","604","n/e","1735","n/e","n/e","N/A","n/e","n/e","N/A"
"Switzerland (CH)","20.11.2021 05:00 - 20.11.2021 06:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","45","","148","592","n/e","1734","n/e","n/e","N/A","n/e","n/e","N/A"
"Switzerland (CH)","20.11.2021 06:00 - 20.11.2021 07:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","58","","186","541","n/e","1733","n/e","n/e","N/A","n/e","n/e","N/A"
"Switzerland (CH)","20.11.2021 07:00 - 20.11.2021 08:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","104","","168","753","n/e","1733","n/e","n/e","N/A","n/e","n/e","N/A"
"Switzerland (CH)","20.11.2021 08:00 - 20.11.2021 09:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","218","","154","935","n/e","1734","n/e","n/e","N/A","n/e","n/e","N/A"
"Switzerland (CH)","20.11.2021 09:00 - 20.11.2021 10:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","173","","165","917","n/e","1741","n/e","n/e","N/A","n/e","n/e","N/A"
"Switzerland (CH)","20.11.2021 10:00 - 20.11.2021 11:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","156","","166","938","n/e","1741","n/e","n/e","N/A","n/e","n/e","N/A"
"Switzerland (CH)","20.11.2021 11:00 - 20.11.2021 12:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","136","","166","708","n/e","1739","n/e","n/e","N/A","n/e","n/e","N/A"
"Switzerland (CH)","20.11.2021 12:00 - 20.11.2021 13:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","108","","165","659","n/e","1555","n/e","n/e","N/A","n/e","n/e","N/A"
"Switzerland (CH)","20.11.2021 13:00 - 20.11.2021 14:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","-","-","-","-","n/e","-","n/e","n/e","-","n/e","n/e","-"
"Switzerland (CH)","20.11.2021 14:00 - 20.11.2021 15:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","-","-","-","-","n/e","-","n/e","n/e","-","n/e","n/e","-"
"Switzerland (CH)","20.11.2021 15:00 - 20.11.2021 16:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","-","-","-","-","n/e","-","n/e","n/e","-","n/e","n/e","-"
"Switzerland (CH)","20.11.2021 16:00 - 20.11.2021 17:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","-","-","-","-","n/e","-","n/e","n/e","-","n/e","n/e","-"
"Switzerland (CH)","20.11.2021 17:00 - 20.11.2021 18:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","-","-","-","-","n/e","-","n/e","n/e","-","n/e","n/e","-"
"Switzerland (CH)","20.11.2021 18:00 - 20.11.2021 19:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","-","-","-","-","n/e","-","n/e","n/e","-","n/e","n/e","-"
"Switzerland (CH)","20.11.2021 19:00 - 20.11.2021 20:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","-","-","-","-","n/e","-","n/e","n/e","-","n/e","n/e","-"
"Switzerland (CH)","20.11.2021 20:00 - 20.11.2021 21:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","-","-","-","-","n/e","-","n/e","n/e","-","n/e","n/e","-"
"Switzerland (CH)","20.11.2021 21:00 - 20.11.2021 22:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","-","-","-","-","n/e","-","n/e","n/e","-","n/e","n/e","-"
"Switzerland (CH)","20.11.2021 22:00 - 20.11.2021 23:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","-","-","-","-","n/e","-","n/e","n/e","-","n/e","n/e","-"
