"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Germany (DE)","20.11.2021 00:00 - 20.11.2021 00:15 (CET)","4451","13684","n/e","3070","4759","279","n/e","n/e","22","275","2764","984","162","n/e","7628","364","146","0","918","4466","17240"
"Germany (DE)","20.11.2021 00:15 - 20.11.2021 00:30 (CET)","4461","13592","n/e","3289","4625","279","n/e","n/e","22","145","2484","984","134","n/e","7627","362","145","0","914","4448","17198"
"Germany (DE)","20.11.2021 00:30 - 20.11.2021 00:45 (CET)","4456","13603","n/e","3289","4661","279","n/e","n/e","22","167","2994","984","128","n/e","7622","362","145","0","906","4329","17177"
"Germany (DE)","20.11.2021 00:45 - 20.11.2021 01:00 (CET)","4458","13587","n/e","3291","4709","280","n/e","n/e","22","16","3554","985","72","n/e","7622","362","145","0","908","4248","17058"
"Germany (DE)","20.11.2021 01:00 - 20.11.2021 01:15 (CET)","4460","13685","n/e","3485","4701","280","n/e","n/e","22","77","3026","986","222","n/e","7623","362","145","0","909","4183","16847"
"Germany (DE)","20.11.2021 01:15 - 20.11.2021 01:30 (CET)","4444","13637","n/e","3438","4686","279","n/e","n/e","22","214","3219","989","164","n/e","7624","362","145","0","911","4073","16842"
"Germany (DE)","20.11.2021 01:30 - 20.11.2021 01:45 (CET)","4454","13608","n/e","3464","4685","279","n/e","n/e","22","116","3276","988","134","n/e","7625","360","144","0","904","4079","16545"
"Germany (DE)","20.11.2021 01:45 - 20.11.2021 02:00 (CET)","4446","13586","n/e","3439","4685","279","n/e","n/e","22","34","3655","989","91","n/e","7626","365","142","0","901","4042","16322"
"Germany (DE)","20.11.2021 02:00 - 20.11.2021 02:15 (CET)","4451","13630","n/e","3440","4604","279","n/e","n/e","22","40","3893","984","140","n/e","7627","368","143","0","901","3934","15897"
"Germany (DE)","20.11.2021 02:15 - 20.11.2021 02:30 (CET)","4447","13524","n/e","3480","4602","279","n/e","n/e","22","77","4273","984","159","n/e","7627","372","145","0","911","3883","15761"
