Area,MTU,Biomass  - Actual Aggregated [MW],Fossil Brown coal/Lignite  - Actual Aggregated [MW],Fossil Coal-derived gas  - Actual Aggregated [MW],Fossil Gas  - Actual Aggregated [MW],Fossil Hard coal  - Actual Aggregated [MW],Fossil Oil  - Actual Aggregated [MW],Fossil Oil shale  - Actual Aggregated [MW],Fossil Peat  - Actual Aggregated [MW],Geothermal  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Consumption [MW],Hydro Run-of-river and poundage  - Actual Aggregated [MW],Hydro Water Reservoir  - Actual Aggregated [MW],Marine  - Actual Aggregated [MW],Nuclear  - Actual Aggregated [MW],Other  - Actual Aggregated [MW],Other renewable  - Actual Aggregated [MW],Solar  - Actual Aggregated [MW],Waste  - Actual Aggregated [MW],Wind Offshore  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW]
Denmark (DK),19.11.2021 00:00 - 19.11.2021 01:00 (CET),400,n/e,n/e,139,310,26,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,1,144,1708,1802
Denmark (DK),19.11.2021 01:00 - 19.11.2021 02:00 (CET),357,n/e,n/e,138,289,25,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,1,146,1882,1917
Denmark (DK),19.11.2021 02:00 - 19.11.2021 03:00 (CET),451,n/e,n/e,142,292,27,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,1,147,1860,2102
Denmark (DK),19.11.2021 03:00 - 19.11.2021 04:00 (CET),335,n/e,n/e,146,295,28,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,1,146,1795,1907
Denmark (DK),19.11.2021 04:00 - 19.11.2021 05:00 (CET),306,n/e,n/e,145,291,28,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,1,129,1810,1854
Denmark (DK),19.11.2021 05:00 - 19.11.2021 06:00 (CET),331,n/e,n/e,149,326,31,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,1,140,1782,1830
Denmark (DK),19.11.2021 06:00 - 19.11.2021 07:00 (CET),326,n/e,n/e,158,362,37,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,1,162,1785,1986
Denmark (DK),19.11.2021 07:00 - 19.11.2021 08:00 (CET),379,n/e,n/e,168,380,41,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,1,165,1686,2478
Denmark (DK),19.11.2021 08:00 - 19.11.2021 09:00 (CET),461,n/e,n/e,179,387,40,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,12,165,1599,2153
Denmark (DK),19.11.2021 09:00 - 19.11.2021 10:00 (CET),488,n/e,n/e,222,387,41,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,87,164,1603,1938
Denmark (DK),19.11.2021 10:00 - 19.11.2021 11:00 (CET),474,n/e,n/e,234,382,40,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,196,147,1517,1970
