Area,MTU,Biomass  - Actual Aggregated [MW],Fossil Brown coal/Lignite  - Actual Aggregated [MW],Fossil Coal-derived gas  - Actual Aggregated [MW],Fossil Gas  - Actual Aggregated [MW],Fossil Hard coal  - Actual Aggregated [MW],Fossil Oil  - Actual Aggregated [MW],Fossil Oil shale  - Actual Aggregated [MW],Fossil Peat  - Actual Aggregated [MW],Geothermal  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Consumption [MW],Hydro Run-of-river and poundage  - Actual Aggregated [MW],Hydro Water Reservoir  - Actual Aggregated [MW],Marine  - Actual Aggregated [MW],Nuclear  - Actual Aggregated [MW],Other  - Actual Aggregated [MW],Other renewable  - Actual Aggregated [MW],Solar  - Actual Aggregated [MW],Waste  - Actual Aggregated [MW],Wind Offshore  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW]
Finland (FI),19.11.2021 00:00 - 19.11.2021 01:00 (CET),798,n/e,n/e,285,273,1,n/e,239,n/e,n/e,n/e,1418,n/e,n/e,2792,71,11,n/e,0,n/e,1355
Finland (FI),19.11.2021 01:00 - 19.11.2021 02:00 (CET),789,n/e,n/e,283,275,1,n/e,229,n/e,n/e,n/e,1092,n/e,n/e,2792,73,11,n/e,0,n/e,1422
Finland (FI),19.11.2021 02:00 - 19.11.2021 03:00 (CET),770,n/e,n/e,277,275,1,n/e,228,n/e,n/e,n/e,1091,n/e,n/e,2792,74,11,n/e,0,n/e,1587
Finland (FI),19.11.2021 03:00 - 19.11.2021 04:00 (CET),762,n/e,n/e,279,275,1,n/e,229,n/e,n/e,n/e,1253,n/e,n/e,2792,74,11,n/e,0,n/e,1625
Finland (FI),19.11.2021 04:00 - 19.11.2021 05:00 (CET),781,n/e,n/e,284,296,1,n/e,237,n/e,n/e,n/e,1247,n/e,n/e,2792,74,11,n/e,0,n/e,1623
Finland (FI),19.11.2021 05:00 - 19.11.2021 06:00 (CET),813,n/e,n/e,278,370,1,n/e,282,n/e,n/e,n/e,1638,n/e,n/e,2792,74,11,n/e,0,n/e,1546
Finland (FI),19.11.2021 06:00 - 19.11.2021 07:00 (CET),849,n/e,n/e,281,403,9,n/e,372,n/e,n/e,n/e,2145,n/e,n/e,2791,82,11,n/e,0,n/e,1522
Finland (FI),19.11.2021 07:00 - 19.11.2021 08:00 (CET),878,n/e,n/e,290,410,8,n/e,426,n/e,n/e,n/e,2296,n/e,n/e,2790,82,11,n/e,0,n/e,1490
Finland (FI),19.11.2021 08:00 - 19.11.2021 09:00 (CET),880,n/e,n/e,292,404,1,n/e,423,n/e,n/e,n/e,2274,n/e,n/e,2790,74,11,n/e,0,n/e,1469
Finland (FI),19.11.2021 09:00 - 19.11.2021 10:00 (CET),855,n/e,n/e,293,399,1,n/e,404,n/e,n/e,n/e,2159,n/e,n/e,2790,74,11,n/e,0,n/e,1406
Finland (FI),19.11.2021 10:00 - 19.11.2021 11:00 (CET),853,n/e,n/e,296,399,1,n/e,401,n/e,n/e,n/e,2175,n/e,n/e,2791,71,11,n/e,0,n/e,1244
