"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Greece (GR)","20.11.2021 00:00 - 20.11.2021 01:00 (CET)","n/e","834","n/e","1667","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","1638"
"Greece (GR)","20.11.2021 01:00 - 20.11.2021 02:00 (CET)","n/e","876","n/e","1228","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","1642"
"Greece (GR)","20.11.2021 02:00 - 20.11.2021 03:00 (CET)","n/e","886","n/e","1204","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","1648"
"Greece (GR)","20.11.2021 03:00 - 20.11.2021 04:00 (CET)","n/e","890","n/e","1145","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","1655"
"Greece (GR)","20.11.2021 04:00 - 20.11.2021 05:00 (CET)","n/e","880","n/e","1043","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","1787"
"Greece (GR)","20.11.2021 05:00 - 20.11.2021 06:00 (CET)","n/e","844","n/e","1130","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","1901"
"Greece (GR)","20.11.2021 06:00 - 20.11.2021 07:00 (CET)","n/e","860","n/e","1489","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","81","n/e","n/e","1848"
"Greece (GR)","20.11.2021 07:00 - 20.11.2021 08:00 (CET)","n/e","889","n/e","1841","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","523","n/e","n/e","1798"
"Greece (GR)","20.11.2021 08:00 - 20.11.2021 09:00 (CET)","n/e","879","n/e","2149","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1075","n/e","n/e","1696"
"Greece (GR)","20.11.2021 09:00 - 20.11.2021 10:00 (CET)","n/e","856","n/e","2106","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1467","n/e","n/e","1589"
