Area,MTU,Biomass  - Actual Aggregated [MW],Fossil Brown coal/Lignite  - Actual Aggregated [MW],Fossil Coal-derived gas  - Actual Aggregated [MW],Fossil Gas  - Actual Aggregated [MW],Fossil Hard coal  - Actual Aggregated [MW],Fossil Oil  - Actual Aggregated [MW],Fossil Oil shale  - Actual Aggregated [MW],Fossil Peat  - Actual Aggregated [MW],Geothermal  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Consumption [MW],Hydro Run-of-river and poundage  - Actual Aggregated [MW],Hydro Water Reservoir  - Actual Aggregated [MW],Marine  - Actual Aggregated [MW],Nuclear  - Actual Aggregated [MW],Other  - Actual Aggregated [MW],Other renewable  - Actual Aggregated [MW],Solar  - Actual Aggregated [MW],Waste  - Actual Aggregated [MW],Wind Offshore  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW]
Italy (IT),19.11.2021 00:00 - 19.11.2021 01:00 (CET),738,n/e,518,14419,2297,255,n/e,n/e,645,72,514,2275,149,n/e,n/e,2068,n/e,0,34,n/e,1727
Italy (IT),19.11.2021 01:00 - 19.11.2021 02:00 (CET),731,n/e,520,12985,2353,199,n/e,n/e,645,,849,1973,76,n/e,n/e,1807,n/e,0,29,n/e,2027
Italy (IT),19.11.2021 02:00 - 19.11.2021 03:00 (CET),728,n/e,519,12563,2369,203,n/e,n/e,645,,912,1902,77,n/e,n/e,1681,n/e,0,36,n/e,2369
Italy (IT),19.11.2021 03:00 - 19.11.2021 04:00 (CET),736,n/e,518,11697,2319,193,n/e,n/e,646,,1258,1928,58,n/e,n/e,1687,n/e,0,38,n/e,2683
Italy (IT),19.11.2021 04:00 - 19.11.2021 05:00 (CET),737,n/e,519,12039,2372,195,n/e,n/e,645,,1813,2070,59,n/e,n/e,1705,n/e,0,31,n/e,2746
Italy (IT),19.11.2021 05:00 - 19.11.2021 06:00 (CET),746,n/e,519,13884,2308,223,n/e,n/e,644,14,1216,2108,89,n/e,n/e,1765,n/e,0,30,n/e,2801
Italy (IT),19.11.2021 06:00 - 19.11.2021 07:00 (CET),722,n/e,520,18076,2356,307,n/e,n/e,645,25,593,2484,517,n/e,n/e,2189,n/e,0,24,n/e,2631
Italy (IT),19.11.2021 07:00 - 19.11.2021 08:00 (CET),731,n/e,520,21153,2413,303,n/e,n/e,645,526,1,4377,846,n/e,n/e,2422,n/e,371,28,n/e,2411
Italy (IT),19.11.2021 08:00 - 19.11.2021 09:00 (CET),719,n/e,519,20996,2409,287,n/e,n/e,644,468,2,5196,962,n/e,n/e,2576,n/e,1876,29,n/e,2324
Italy (IT),19.11.2021 09:00 - 19.11.2021 10:00 (CET),724,n/e,519,20876,2432,204,n/e,n/e,644,410,54,4618,977,n/e,n/e,2513,n/e,3108,33,n/e,2440
Italy (IT),19.11.2021 10:00 - 19.11.2021 11:00 (CET),730,n/e,519,20448,2434,188,n/e,n/e,643,376,30,4050,947,n/e,n/e,2486,n/e,3798,34,n/e,2570
