"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Netherlands (NL)","20.11.2021 00:00 - 20.11.2021 00:15 (CET)","0","n/e","n/e","3395","3674","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","481","464","n/e","0","50","743","418"
"Netherlands (NL)","20.11.2021 00:15 - 20.11.2021 00:30 (CET)","0","n/e","n/e","3277","3788","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","481","473","n/e","0","50","735","387"
"Netherlands (NL)","20.11.2021 00:30 - 20.11.2021 00:45 (CET)","0","n/e","n/e","3160","3813","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","481","474","n/e","0","49","727","376"
"Netherlands (NL)","20.11.2021 00:45 - 20.11.2021 01:00 (CET)","0","n/e","n/e","3011","3815","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","481","474","n/e","0","49","759","349"
"Netherlands (NL)","20.11.2021 01:00 - 20.11.2021 01:15 (CET)","0","n/e","n/e","2763","3814","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","480","484","n/e","0","50","754","316"
"Netherlands (NL)","20.11.2021 01:15 - 20.11.2021 01:30 (CET)","0","n/e","n/e","2782","3823","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","481","487","n/e","0","52","747","317"
"Netherlands (NL)","20.11.2021 01:30 - 20.11.2021 01:45 (CET)","0","n/e","n/e","2726","3811","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","481","486","n/e","0","52","713","285"
"Netherlands (NL)","20.11.2021 01:45 - 20.11.2021 02:00 (CET)","0","n/e","n/e","2637","3816","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","481","487","n/e","0","53","732","283"
"Netherlands (NL)","20.11.2021 02:00 - 20.11.2021 02:15 (CET)","0","n/e","n/e","2730","3742","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","481","494","n/e","0","51","736","288"
"Netherlands (NL)","20.11.2021 02:15 - 20.11.2021 02:30 (CET)","0","n/e","n/e","2844","3694","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","481","501","n/e","0","50","738","274"
"Netherlands (NL)","20.11.2021 02:30 - 20.11.2021 02:45 (CET)","0","n/e","n/e","2788","3617","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","481","487","n/e","0","51","738","277"
"Netherlands (NL)","20.11.2021 02:45 - 20.11.2021 03:00 (CET)","0","n/e","n/e","2822","3539","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","481","507","n/e","0","52","696","280"
"Netherlands (NL)","20.11.2021 03:00 - 20.11.2021 03:15 (CET)","0","n/e","n/e","2867","3464","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","481","555","n/e","0","53","707","302"
"Netherlands (NL)","20.11.2021 03:15 - 20.11.2021 03:30 (CET)","0","n/e","n/e","2832","3421","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","481","559","n/e","0","53","708","299"
"Netherlands (NL)","20.11.2021 03:30 - 20.11.2021 03:45 (CET)","0","n/e","n/e","2827","3390","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","480","530","n/e","0","54","714","298"
"Netherlands (NL)","20.11.2021 03:45 - 20.11.2021 04:00 (CET)","0","n/e","n/e","2806","3389","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","481","509","n/e","0","54","733","286"
"Netherlands (NL)","20.11.2021 04:00 - 20.11.2021 04:15 (CET)","0","n/e","n/e","2746","3415","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","481","496","n/e","0","52","746","285"
"Netherlands (NL)","20.11.2021 04:15 - 20.11.2021 04:30 (CET)","0","n/e","n/e","2800","3474","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","482","489","n/e","0","51","737","277"
"Netherlands (NL)","20.11.2021 04:30 - 20.11.2021 04:45 (CET)","0","n/e","n/e","2779","3553","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","481","487","n/e","0","52","737","269"
"Netherlands (NL)","20.11.2021 04:45 - 20.11.2021 05:00 (CET)","0","n/e","n/e","2688","3636","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","481","487","n/e","0","52","683","253"
"Netherlands (NL)","20.11.2021 05:00 - 20.11.2021 05:15 (CET)","0","n/e","n/e","2537","3715","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","482","484","n/e","0","52","681","244"
"Netherlands (NL)","20.11.2021 05:15 - 20.11.2021 05:30 (CET)","0","n/e","n/e","2584","3782","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","481","486","n/e","0","53","664","238"
"Netherlands (NL)","20.11.2021 05:30 - 20.11.2021 05:45 (CET)","0","n/e","n/e","2636","3787","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","480","495","n/e","0","53","664","237"
"Netherlands (NL)","20.11.2021 05:45 - 20.11.2021 06:00 (CET)","0","n/e","n/e","2599","3812","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","481","485","n/e","0","54","729","239"
"Netherlands (NL)","20.11.2021 06:00 - 20.11.2021 06:15 (CET)","0","n/e","n/e","2407","3824","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","481","455","n/e","0","52","796","251"
"Netherlands (NL)","20.11.2021 06:15 - 20.11.2021 06:30 (CET)","0","n/e","n/e","2477","3844","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","481","459","n/e","0","51","850","255"
"Netherlands (NL)","20.11.2021 06:30 - 20.11.2021 06:45 (CET)","0","n/e","n/e","2663","3834","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","481","462","n/e","0","51","835","285"
"Netherlands (NL)","20.11.2021 06:45 - 20.11.2021 07:00 (CET)","0","n/e","n/e","2692","3827","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","481","474","n/e","0","52","855","338"
