"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Netherlands (NL)","19.11.2021 00:00 - 19.11.2021 00:15 (CET)","0","n/e","n/e","2344","2970","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","481","445","n/e","1","50","1515","499"
"Netherlands (NL)","19.11.2021 00:15 - 19.11.2021 00:30 (CET)","0","n/e","n/e","2328","2980","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","480","453","n/e","1","49","1505","514"
"Netherlands (NL)","19.11.2021 00:30 - 19.11.2021 00:45 (CET)","0","n/e","n/e","2272","2988","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","482","450","n/e","1","51","1508","527"
"Netherlands (NL)","19.11.2021 00:45 - 19.11.2021 01:00 (CET)","0","n/e","n/e","2132","2985","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","481","445","n/e","1","53","1502","541"
"Netherlands (NL)","19.11.2021 01:00 - 19.11.2021 01:15 (CET)","0","n/e","n/e","2011","2992","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","482","403","n/e","1","53","1529","546"
"Netherlands (NL)","19.11.2021 01:15 - 19.11.2021 01:30 (CET)","0","n/e","n/e","1927","2979","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","481","393","n/e","1","53","1581","535"
"Netherlands (NL)","19.11.2021 01:30 - 19.11.2021 01:45 (CET)","0","n/e","n/e","1805","2964","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","481","394","n/e","1","53","1616","522"
"Netherlands (NL)","19.11.2021 01:45 - 19.11.2021 02:00 (CET)","0","n/e","n/e","1739","2946","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","481","392","n/e","1","55","1623","509"
"Netherlands (NL)","19.11.2021 02:00 - 19.11.2021 02:15 (CET)","0","n/e","n/e","1734","2887","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","481","392","n/e","1","53","1637","474"
"Netherlands (NL)","19.11.2021 02:15 - 19.11.2021 02:30 (CET)","0","n/e","n/e","1841","2830","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","481","394","n/e","1","52","1660","487"
