Area,MTU,Biomass  - Actual Aggregated [MW],Fossil Brown coal/Lignite  - Actual Aggregated [MW],Fossil Coal-derived gas  - Actual Aggregated [MW],Fossil Gas  - Actual Aggregated [MW],Fossil Hard coal  - Actual Aggregated [MW],Fossil Oil  - Actual Aggregated [MW],Fossil Oil shale  - Actual Aggregated [MW],Fossil Peat  - Actual Aggregated [MW],Geothermal  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Consumption [MW],Hydro Run-of-river and poundage  - Actual Aggregated [MW],Hydro Water Reservoir  - Actual Aggregated [MW],Marine  - Actual Aggregated [MW],Nuclear  - Actual Aggregated [MW],Other  - Actual Aggregated [MW],Other renewable  - Actual Aggregated [MW],Solar  - Actual Aggregated [MW],Waste  - Actual Aggregated [MW],Wind Offshore  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW]
Norway (NO),19.11.2021 00:00 - 19.11.2021 01:00 (CET),0,n/e,n/e,80,n/e,n/e,n/e,n/e,n/e,45,,3417,6814,n/e,n/e,0,47,n/e,40,n/e,2537
Norway (NO),19.11.2021 01:00 - 19.11.2021 02:00 (CET),0,n/e,n/e,84,n/e,n/e,n/e,n/e,n/e,43,,3436,6884,n/e,n/e,0,46,n/e,41,n/e,2413
Norway (NO),19.11.2021 02:00 - 19.11.2021 03:00 (CET),0,n/e,n/e,91,n/e,n/e,n/e,n/e,n/e,43,,3437,6767,n/e,n/e,0,47,n/e,42,n/e,2173
Norway (NO),19.11.2021 03:00 - 19.11.2021 04:00 (CET),0,n/e,n/e,90,n/e,n/e,n/e,n/e,n/e,43,,3428,6799,n/e,n/e,0,45,n/e,42,n/e,2038
Norway (NO),19.11.2021 04:00 - 19.11.2021 05:00 (CET),0,n/e,n/e,88,n/e,n/e,n/e,n/e,n/e,44,,3449,7174,n/e,n/e,0,46,n/e,41,n/e,1912
Norway (NO),19.11.2021 05:00 - 19.11.2021 06:00 (CET),0,n/e,n/e,81,n/e,n/e,n/e,n/e,n/e,44,,3494,7912,n/e,n/e,0,47,n/e,40,n/e,1861
Norway (NO),19.11.2021 06:00 - 19.11.2021 07:00 (CET),0,n/e,n/e,83,n/e,n/e,n/e,n/e,n/e,44,,3530,9372,n/e,n/e,0,47,n/e,40,n/e,1933
Norway (NO),19.11.2021 07:00 - 19.11.2021 08:00 (CET),0,n/e,n/e,83,n/e,n/e,n/e,n/e,n/e,44,,3564,11000,n/e,n/e,0,45,n/e,39,n/e,2170
Norway (NO),19.11.2021 08:00 - 19.11.2021 09:00 (CET),0,n/e,n/e,84,n/e,n/e,n/e,n/e,n/e,44,,3575,11162,n/e,n/e,0,46,n/e,38,n/e,2394
Norway (NO),19.11.2021 09:00 - 19.11.2021 10:00 (CET),0,n/e,n/e,88,n/e,n/e,n/e,n/e,n/e,44,,3559,11231,n/e,n/e,0,48,n/e,38,n/e,2235
Norway (NO),19.11.2021 10:00 - 19.11.2021 11:00 (CET),0,n/e,n/e,88,n/e,n/e,n/e,n/e,n/e,40,,3544,11145,n/e,n/e,0,46,n/e,37,n/e,2232
