"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Poland (PL)","20.11.2021 00:00 - 20.11.2021 01:00 (CET)","235","2963","69","1349","6374","224","n/e","n/e","n/e","0","","111","0","n/e","n/e","n/e","n/e","0","n/e","n/e","6383"
"Poland (PL)","20.11.2021 01:00 - 20.11.2021 02:00 (CET)","231","2976","71","1372","6400","224","n/e","n/e","n/e","0","","110","0","n/e","n/e","n/e","n/e","0","n/e","n/e","6343"
"Poland (PL)","20.11.2021 02:00 - 20.11.2021 03:00 (CET)","231","2954","71","1341","6367","224","n/e","n/e","n/e","0","","110","0","n/e","n/e","n/e","n/e","0","n/e","n/e","6285"
"Poland (PL)","20.11.2021 03:00 - 20.11.2021 04:00 (CET)","234","3104","70","1340","6370","224","n/e","n/e","n/e","0","","110","0","n/e","n/e","n/e","n/e","0","n/e","n/e","6231"
"Poland (PL)","20.11.2021 04:00 - 20.11.2021 05:00 (CET)","243","3065","72","1357","6479","223","n/e","n/e","n/e","0","","110","0","n/e","n/e","n/e","n/e","0","n/e","n/e","6076"
"Poland (PL)","20.11.2021 05:00 - 20.11.2021 06:00 (CET)","245","3044","71","1344","6496","223","n/e","n/e","n/e","0","","108","0","n/e","n/e","n/e","n/e","0","n/e","n/e","5797"
"Poland (PL)","20.11.2021 06:00 - 20.11.2021 07:00 (CET)","246","3315","72","1350","6550","224","n/e","n/e","n/e","0","","107","0","n/e","n/e","n/e","n/e","0","n/e","n/e","5515"
"Poland (PL)","20.11.2021 07:00 - 20.11.2021 08:00 (CET)","245","4286","72","1362","6850","224","n/e","n/e","n/e","0","","107","0","n/e","n/e","n/e","n/e","35","n/e","n/e","5168"
"Poland (PL)","20.11.2021 08:00 - 20.11.2021 09:00 (CET)","239","4650","72","1362","7411","225","n/e","n/e","n/e","0","","110","0","n/e","n/e","n/e","n/e","180","n/e","n/e","4820"
"Poland (PL)","20.11.2021 09:00 - 20.11.2021 10:00 (CET)","244","4552","72","1356","8055","224","n/e","n/e","n/e","18","","113","0","n/e","n/e","n/e","n/e","581","n/e","n/e","4769"
