Area,MTU,Biomass  - Actual Aggregated [MW],Fossil Brown coal/Lignite  - Actual Aggregated [MW],Fossil Coal-derived gas  - Actual Aggregated [MW],Fossil Gas  - Actual Aggregated [MW],Fossil Hard coal  - Actual Aggregated [MW],Fossil Oil  - Actual Aggregated [MW],Fossil Oil shale  - Actual Aggregated [MW],Fossil Peat  - Actual Aggregated [MW],Geothermal  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Consumption [MW],Hydro Run-of-river and poundage  - Actual Aggregated [MW],Hydro Water Reservoir  - Actual Aggregated [MW],Marine  - Actual Aggregated [MW],Nuclear  - Actual Aggregated [MW],Other  - Actual Aggregated [MW],Other renewable  - Actual Aggregated [MW],Solar  - Actual Aggregated [MW],Waste  - Actual Aggregated [MW],Wind Offshore  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW]
Poland (PL),19.11.2021 00:00 - 19.11.2021 01:00 (CET),240,3029,59,1554,6756,226,n/e,n/e,n/e,0,,109,0,n/e,n/e,n/e,n/e,0,n/e,n/e,6056
Poland (PL),19.11.2021 01:00 - 19.11.2021 02:00 (CET),238,3060,60,1559,6760,227,n/e,n/e,n/e,0,,108,0,n/e,n/e,n/e,n/e,0,n/e,n/e,6051
Poland (PL),19.11.2021 02:00 - 19.11.2021 03:00 (CET),237,3054,60,1557,6753,227,n/e,n/e,n/e,0,,108,0,n/e,n/e,n/e,n/e,0,n/e,n/e,6018
Poland (PL),19.11.2021 03:00 - 19.11.2021 04:00 (CET),235,3049,59,1557,6781,227,n/e,n/e,n/e,0,,108,0,n/e,n/e,n/e,n/e,0,n/e,n/e,5927
Poland (PL),19.11.2021 04:00 - 19.11.2021 05:00 (CET),242,3105,57,1558,6893,227,n/e,n/e,n/e,0,,108,0,n/e,n/e,n/e,n/e,0,n/e,n/e,5868
Poland (PL),19.11.2021 05:00 - 19.11.2021 06:00 (CET),245,3707,58,1551,7336,226,n/e,n/e,n/e,0,,109,0,n/e,n/e,n/e,n/e,0,n/e,n/e,5748
Poland (PL),19.11.2021 06:00 - 19.11.2021 07:00 (CET),245,4744,60,1594,8755,226,n/e,n/e,n/e,0,,110,0,n/e,n/e,n/e,n/e,0,n/e,n/e,5679
Poland (PL),19.11.2021 07:00 - 19.11.2021 08:00 (CET),244,5094,62,1809,9739,227,n/e,n/e,n/e,0,,110,0,n/e,n/e,n/e,n/e,14,n/e,n/e,5606
Poland (PL),19.11.2021 08:00 - 19.11.2021 09:00 (CET),233,5132,63,1826,9897,226,n/e,n/e,n/e,21,,117,0,n/e,n/e,n/e,n/e,60,n/e,n/e,5554
Poland (PL),19.11.2021 09:00 - 19.11.2021 10:00 (CET),171,5251,64,1855,9637,226,n/e,n/e,n/e,85,,126,0,n/e,n/e,n/e,n/e,156,n/e,n/e,5656
Poland (PL),19.11.2021 10:00 - 19.11.2021 11:00 (CET),164,5314,62,1685,9656,226,n/e,n/e,n/e,422,,122,0,n/e,n/e,n/e,n/e,256,n/e,n/e,5777
