"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Sweden (SE)","20.11.2021 00:00 - 20.11.2021 01:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","4358","n/e","6940","709","n/e","n/e","n/e","n/e","9331"
"Sweden (SE)","20.11.2021 01:00 - 20.11.2021 02:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","3906","n/e","6940","694","n/e","n/e","n/e","n/e","9325"
"Sweden (SE)","20.11.2021 02:00 - 20.11.2021 03:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","3864","n/e","6942","686","n/e","n/e","n/e","n/e","9101"
"Sweden (SE)","20.11.2021 03:00 - 20.11.2021 04:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","3819","n/e","6941","687","n/e","n/e","n/e","n/e","8858"
"Sweden (SE)","20.11.2021 04:00 - 20.11.2021 05:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","4104","n/e","6942","693","n/e","n/e","n/e","n/e","8511"
"Sweden (SE)","20.11.2021 05:00 - 20.11.2021 06:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","4824","n/e","6940","690","n/e","n/e","n/e","n/e","8137"
"Sweden (SE)","20.11.2021 06:00 - 20.11.2021 07:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","5502","n/e","6940","712","n/e","n/e","n/e","n/e","7791"
"Sweden (SE)","20.11.2021 07:00 - 20.11.2021 08:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","6115","n/e","6940","749","n/e","n/e","n/e","n/e","7467"
"Sweden (SE)","20.11.2021 08:00 - 20.11.2021 09:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","6466","n/e","6940","775","n/e","n/e","n/e","n/e","7094"
"Sweden (SE)","20.11.2021 09:00 - 20.11.2021 10:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","7167","n/e","6939","789","n/e","n/e","n/e","n/e","6763"
