"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"France (FR)","19.11.2021 00:00 - 19.11.2021 01:00 (CET)","345","n/e","n/e","7739","612","211","n/e","n/e","n/e","","1188","2694","1889","n/e","44227","n/e","n/e","0","252","n/e","1386"
"France (FR)","19.11.2021 01:00 - 19.11.2021 02:00 (CET)","345","n/e","n/e","7733","613","210","n/e","n/e","n/e","","1977","2392","1715","n/e","43858","n/e","n/e","0","253","n/e","1397"
"France (FR)","19.11.2021 02:00 - 19.11.2021 03:00 (CET)","344","n/e","n/e","7765","611","210","n/e","n/e","n/e","","2543","2278","1450","n/e","43711","n/e","n/e","0","248","n/e","1401"
"France (FR)","19.11.2021 03:00 - 19.11.2021 04:00 (CET)","343","n/e","n/e","7650","612","210","n/e","n/e","n/e","","3190","2098","1271","n/e","44146","n/e","n/e","0","251","n/e","1403"
"France (FR)","19.11.2021 04:00 - 19.11.2021 05:00 (CET)","345","n/e","n/e","7541","612","210","n/e","n/e","n/e","","3294","2061","928","n/e","44151","n/e","n/e","0","251","n/e","1372"
"France (FR)","19.11.2021 05:00 - 19.11.2021 06:00 (CET)","344","n/e","n/e","7455","612","253","n/e","n/e","n/e","","2867","2206","1029","n/e","44122","n/e","n/e","0","248","n/e","1389"
"France (FR)","19.11.2021 06:00 - 19.11.2021 07:00 (CET)","338","n/e","n/e","7648","612","329","n/e","n/e","n/e","","195","2524","2006","n/e","44265","n/e","n/e","0","244","n/e","1420"
"France (FR)","19.11.2021 07:00 - 19.11.2021 08:00 (CET)","337","n/e","n/e","7840","612","702","n/e","n/e","n/e","1568","","3434","3248","n/e","44364","n/e","n/e","0","242","n/e","1423"
"France (FR)","19.11.2021 08:00 - 19.11.2021 09:00 (CET)","346","n/e","n/e","7783","613","756","n/e","n/e","n/e","2092","","3592","3564","n/e","44414","n/e","n/e","446","244","n/e","1443"
"France (FR)","19.11.2021 09:00 - 19.11.2021 10:00 (CET)","347","n/e","n/e","7828","613","756","n/e","n/e","n/e","2238","","3526","3246","n/e","44394","n/e","n/e","1709","243","n/e","1319"
"France (FR)","19.11.2021 10:00 - 19.11.2021 11:00 (CET)","346","n/e","n/e","7774","611","740","n/e","n/e","n/e","1776","","3051","3001","n/e","44354","n/e","n/e","3194","242","n/e","1034"
"France (FR)","19.11.2021 11:00 - 19.11.2021 12:00 (CET)","346","n/e","n/e","7640","610","521","n/e","n/e","n/e","880","","2885","3196","n/e","44354","n/e","n/e","4255","245","n/e","901"
"France (FR)","19.11.2021 12:00 - 19.11.2021 13:00 (CET)","345","n/e","n/e","7430","611","504","n/e","n/e","n/e","523","","2873","3329","n/e","44310","n/e","n/e","4904","245","n/e","892"
"France (FR)","19.11.2021 13:00 - 19.11.2021 14:00 (CET)","345","n/e","n/e","7382","610","503","n/e","n/e","n/e","71","","2940","2803","n/e","44272","n/e","n/e","5020","243","n/e","888"
