"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Norway (NO)","19.11.2021 00:00 - 19.11.2021 01:00 (CET)","0","n/e","n/e","80","n/e","n/e","n/e","n/e","n/e","45","","3417","6814","n/e","n/e","0","47","n/e","40","n/e","2537"
"Norway (NO)","19.11.2021 01:00 - 19.11.2021 02:00 (CET)","0","n/e","n/e","84","n/e","n/e","n/e","n/e","n/e","43","","3436","6884","n/e","n/e","0","46","n/e","41","n/e","2413"
"Norway (NO)","19.11.2021 02:00 - 19.11.2021 03:00 (CET)","0","n/e","n/e","91","n/e","n/e","n/e","n/e","n/e","43","","3437","6767","n/e","n/e","0","47","n/e","42","n/e","2173"
"Norway (NO)","19.11.2021 03:00 - 19.11.2021 04:00 (CET)","0","n/e","n/e","90","n/e","n/e","n/e","n/e","n/e","43","","3428","6799","n/e","n/e","0","45","n/e","42","n/e","2038"
"Norway (NO)","19.11.2021 04:00 - 19.11.2021 05:00 (CET)","0","n/e","n/e","88","n/e","n/e","n/e","n/e","n/e","44","","3449","7174","n/e","n/e","0","46","n/e","41","n/e","1912"
"Norway (NO)","19.11.2021 05:00 - 19.11.2021 06:00 (CET)","0","n/e","n/e","81","n/e","n/e","n/e","n/e","n/e","44","","3494","7912","n/e","n/e","0","47","n/e","40","n/e","1861"
"Norway (NO)","19.11.2021 06:00 - 19.11.2021 07:00 (CET)","0","n/e","n/e","83","n/e","n/e","n/e","n/e","n/e","44","","3530","9372","n/e","n/e","0","47","n/e","40","n/e","1933"
"Norway (NO)","19.11.2021 07:00 - 19.11.2021 08:00 (CET)","0","n/e","n/e","83","n/e","n/e","n/e","n/e","n/e","44","","3564","11000","n/e","n/e","0","45","n/e","39","n/e","2170"
"Norway (NO)","19.11.2021 08:00 - 19.11.2021 09:00 (CET)","0","n/e","n/e","84","n/e","n/e","n/e","n/e","n/e","44","","3575","11162","n/e","n/e","0","46","n/e","38","n/e","2394"
"Norway (NO)","19.11.2021 09:00 - 19.11.2021 10:00 (CET)","0","n/e","n/e","88","n/e","n/e","n/e","n/e","n/e","44","","3559","11231","n/e","n/e","0","48","n/e","38","n/e","2235"
"Norway (NO)","19.11.2021 10:00 - 19.11.2021 11:00 (CET)","0","n/e","n/e","88","n/e","n/e","n/e","n/e","n/e","40","","3544","11145","n/e","n/e","0","46","n/e","37","n/e","2232"
"Norway (NO)","19.11.2021 11:00 - 19.11.2021 12:00 (CET)","0","n/e","n/e","86","n/e","n/e","n/e","n/e","n/e","36","","3546","10725","n/e","n/e","0","43","n/e","38","n/e","2242"
"Norway (NO)","19.11.2021 12:00 - 19.11.2021 13:00 (CET)","0","n/e","n/e","84","n/e","n/e","n/e","n/e","n/e","44","","3541","10344","n/e","n/e","0","46","n/e","39","n/e","2138"
"Norway (NO)","19.11.2021 13:00 - 19.11.2021 14:00 (CET)","0","n/e","n/e","85","n/e","n/e","n/e","n/e","n/e","44","","3540","10142","n/e","n/e","0","44","n/e","38","n/e","2087"
"Norway (NO)","19.11.2021 14:00 - 19.11.2021 15:00 (CET)","0","n/e","n/e","81","n/e","n/e","n/e","n/e","n/e","44","","3558","9969","n/e","n/e","0","43","n/e","38","n/e","2080"
"Norway (NO)","19.11.2021 15:00 - 19.11.2021 16:00 (CET)","0","n/e","n/e","82","n/e","n/e","n/e","n/e","n/e","43","","3465","10139","n/e","n/e","0","45","n/e","37","n/e","2275"
"Norway (NO)","19.11.2021 16:00 - 19.11.2021 17:00 (CET)","0","n/e","n/e","82","n/e","n/e","n/e","n/e","n/e","38","","3464","10264","n/e","n/e","0","49","n/e","38","n/e","2532"
"Norway (NO)","19.11.2021 17:00 - 19.11.2021 18:00 (CET)","0","n/e","n/e","80","n/e","n/e","n/e","n/e","n/e","38","","3496","10062","n/e","n/e","0","51","n/e","38","n/e","2979"
"Norway (NO)","19.11.2021 18:00 - 19.11.2021 19:00 (CET)","0","n/e","n/e","81","n/e","n/e","n/e","n/e","n/e","38","","3474","9484","n/e","n/e","0","48","n/e","38","n/e","2964"
